DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/31/2016,18:10,,,,,,EAST 54 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3590697,SPORT UTILITY / STATION WAGON,TAXI,,,
12/31/2016,18:10,BROOKLYN,11234,40.5965113,-73.9078755,"(40.5965113, -73.9078755)",FLATBUSH AVENUE,SHORE PARKWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3590566,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:05,BROOKLYN,11230,40.6314942,-73.9718517,"(40.6314942, -73.9718517)",OCEAN PARKWAY,NEWKIRK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3591273,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,,,,,,ATLANTIC AVENUE,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3592099,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/31/2016,18:00,,,,,,MERRICK BOULEVARD,218 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3589880,PASSENGER VEHICLE,,,,
12/31/2016,18:00,,,,,,JEROME AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590915,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11419,40.6910154,-73.8187388,"(40.6910154, -73.8187388)",,,102-12    127 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590585,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11419,40.6862342,-73.8241748,"(40.6862342, -73.8241748)",LEFFERTS BOULEVARD,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589914,TAXI,SPORT UTILITY / STATION WAGON,,,
12/31/2016,18:00,QUEENS,11375,40.7249661,-73.845503,"(40.7249661, -73.845503)",108 STREET,69 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Failure to Yield Right-of-Way,,,,3589861,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,18:00,BROOKLYN,11212,40.6580097,-73.9207657,"(40.6580097, -73.9207657)",EAST 94 STREET,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590258,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,17:55,BRONX,10468,40.8602661,-73.9016319,"(40.8602661, -73.9016319)",EAST 184 STREET,WALTON AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3589895,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:50,BROOKLYN,11229,40.6100983,-73.9613729,"(40.6100983, -73.9613729)",AVENUE P,EAST 12 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3591178,,,,,
12/31/2016,17:50,,,,,,RALPH AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3589907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:50,QUEENS,11413,40.6497248,-73.7559115,"(40.6497248, -73.7559115)",,,230-79    ROCKAWAY BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3589881,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
12/31/2016,17:50,QUEENS,11106,40.7594573,-73.9358814,"(40.7594573, -73.9358814)",36 AVENUE,22 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590001,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:45,BRONX,10470,40.8953759,-73.8635575,"(40.8953759, -73.8635575)",EAST 233 STREET,WEBSTER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590140,PICK-UP TRUCK,,,,
12/31/2016,17:40,,,,,,210 STREET,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3589871,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:30,,,40.6399995,-74.0244118,"(40.6399995, -74.0244118)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3590054,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/31/2016,17:30,,,,,,GRAND ARMY PLAZA,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3590696,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
12/31/2016,17:30,QUEENS,11418,40.7042121,-73.8369635,"(40.7042121, -73.8369635)",PARK LANE SOUTH,115 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Backing Unsafely,,,,3590557,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,QUEENS,11354,40.764651,-73.823484,"(40.764651, -73.823484)",PARSONS BOULEVARD,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3589953,PASSENGER VEHICLE,,,,
12/31/2016,17:30,QUEENS,11106,40.7624223,-73.9194033,"(40.7624223, -73.9194033)",,,36-01     31 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590002,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,MANHATTAN,10012,40.7259426,-74.0007685,"(40.7259426, -74.0007685)",,,444       WEST BROADWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3590712,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:30,BROOKLYN,11229,40.5948543,-73.9556493,"(40.5948543, -73.9556493)",EAST 15 STREET,GRAVESEND NECK ROAD,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3591791,PASSENGER VEHICLE,,,,
12/31/2016,17:30,BROOKLYN,11213,40.672703,-73.93635,"(40.672703, -73.93635)",TROY AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3592664,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/31/2016,17:30,BROOKLYN,11209,40.6250475,-74.0244495,"(40.6250475, -74.0244495)",81 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3590052,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/31/2016,17:26,,,,,,GLENMORE AVENUE,,,1,0,1,0,0,0,0,0,Driver Inexperience,,,,,3589835,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:20,MANHATTAN,10069,40.7741151,-73.988627,"(40.7741151, -73.988627)",WEST 63 STREET,WEST END AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3589885,SPORT UTILITY / STATION WAGON,,,,
12/31/2016,17:20,,,,,,FOREST AVENUE,UNION AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3590994,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
12/31/2016,17:19,,,,,,EAST 86 STREET,,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,3589910,PASSENGER VEHICLE,,,,
12/31/2016,17:13,BRONX,10465,40.8285193,-73.8411794,"(40.8285193, -73.8411794)",BRUCKNER BOULEVARD,BRUSH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3591318,TAXI,PASSENGER VEHICLE,,,
12/31/2016,17:05,,,,,,MEEKER AVENUE,MORGAN AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3589886,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
